"","city_name","day","api","pollutant","yd","year","month","date","_merge1","prov","_merge2"
"1","Nantong","1/1/06",59,"PM10",16802,2006,1,1,1,32,1
"2","Nantong","2/1/06",49,"--",16803,2006,1,2,1,32,1
"3","Nantong","3/1/06",54,"PM10",16804,2006,1,3,1,32,1
"4","Nantong","4/1/06",82,"PM10",16805,2006,1,4,1,32,1
"5","Nantong","5/1/06",110,"PM10",16806,2006,1,5,1,32,1
"6","Nantong","6/1/06",73,"PM10",16807,2006,1,6,1,32,1
"7","Nantong","7/1/06",52,"PM10",16808,2006,1,7,1,32,1
"8","Nantong","8/1/06",63,"PM10",16809,2006,1,8,1,32,1
"9","Nantong","9/1/06",60,"PM10",16810,2006,1,9,1,32,1
"10","Nantong","10/1/06",35,"--",16811,2006,1,10,1,32,1
"11","Nantong","11/1/06",88,"PM10",16812,2006,1,11,1,32,1
"12","Nantong","12/1/06",99,"PM10",16813,2006,1,12,1,32,1
"13","Nantong","1/2/06",78,"PM10",16833,2006,2,1,1,32,1
"14","Nantong","2/2/06",67,"PM10",16834,2006,2,2,1,32,1
"15","Nantong","3/2/06",100,"PM10",16835,2006,2,3,1,32,1
"16","Nantong","4/2/06",77,"PM10",16836,2006,2,4,1,32,1
"17","Nantong","5/2/06",71,"PM10",16837,2006,2,5,1,32,1
"18","Nantong","6/2/06",52,"PM10",16838,2006,2,6,1,32,1
"19","Nantong","7/2/06",52,"PM10",16839,2006,2,7,1,32,1
"20","Nantong","8/2/06",56,"PM10",16840,2006,2,8,1,32,1
"21","Nantong","9/2/06",61,"PM10",16841,2006,2,9,1,32,1
"22","Nantong","10/2/06",51,"PM10",16842,2006,2,10,1,32,1
"23","Nantong","11/2/06",113,"PM10",16843,2006,2,11,1,32,1
"24","Nantong","12/2/06",87,"PM10",16844,2006,2,12,1,32,1
"25","Nantong","1/3/06",87,"PM10",16861,2006,3,1,1,32,1
"26","Nantong","2/3/06",50,"--",16862,2006,3,2,1,32,1
"27","Nantong","3/3/06",83,"PM10",16863,2006,3,3,1,32,1
"28","Nantong","4/3/06",77,"PM10",16864,2006,3,4,1,32,1
"29","Nantong","5/3/06",58,"PM10",16865,2006,3,5,1,32,1
"30","Nantong","6/3/06",72,"PM10",16866,2006,3,6,1,32,1
"31","Nantong","7/3/06",48,"--",16867,2006,3,7,1,32,1
"32","Nantong","8/3/06",50,"--",16868,2006,3,8,1,32,1
"33","Nantong","9/3/06",42,"--",16869,2006,3,9,1,32,1
"34","Nantong","10/3/06",53,"PM10",16870,2006,3,10,1,32,1
"35","Nantong","11/3/06",111,"PM10",16871,2006,3,11,1,32,1
"36","Nantong","12/3/06",50,"--",16872,2006,3,12,1,32,1
"37","Nantong","1/4/06",32,"--",16892,2006,4,1,1,32,1
"38","Nantong","2/4/06",35,"--",16893,2006,4,2,1,32,1
"39","Nantong","3/4/06",68,"PM10",16894,2006,4,3,1,32,1
